K,method_id,label,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges,avgThroughputMbps,p5ThroughputMbps
25,random,Random,Random,3.553966749018129,0.8735611465944804,1.0836747402551685,3.0,6.058,61.56,71.07933498036257,17.47122293188961
25,gao,Gao Matching,GaoMatching,3.5661612598646015,0.9027696107384364,1.0676311699347796,3.0,6.2124,54.97,71.32322519729203,18.05539221476873
25,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.4322940986677866,0.8258292697480133,1.0469516774010836,7.28,6.058,122.54,68.64588197335573,16.516585394960266
25,beam_weighted,Beam-Weighted Threshold,Proposed,3.3773846265007172,0.8066513007102664,1.0814732453370381,8.655,3.5533500000000005,148.155,67.54769253001434,16.133026014205328
25,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.531036907612261,0.859734477948877,1.1268926622190036,3.0,3.5760500000000004,147.9,70.62073815224522,17.19468955897754
25,mussbah,Mussbah Beam Graph,Proposed,3.0484929097116065,0.7301758396806686,0.9773832610466227,22.345,3.5533500000000005,295.96,60.96985819423213,14.60351679361337
30,random,Random,Random,3.434706930284219,0.7661383280981416,1.1208528983401462,3.0,6.612,88.875,68.69413860568437,15.322766561962833
30,gao,Gao Matching,GaoMatching,3.4516909846137436,0.8075069384849786,1.1040039549332632,3.0,6.796800000000001,77.555,69.03381969227488,16.15013876969957
30,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.2943752883647455,0.7196493116537528,1.0754208178854854,8.19,6.612,177.9,65.88750576729491,14.392986233075057
30,beam_weighted,Beam-Weighted Threshold,Proposed,3.2297190335122603,0.697418675659067,1.1157060798375147,9.87,4.0680000000000005,215.35,64.5943806702452,13.94837351318134
30,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.409280615306352,0.7731338318414684,1.1733488813871389,3.0,4.10305,214.68,68.18561230612704,15.462676636829368
30,mussbah,Mussbah Beam Graph,Proposed,2.842237269773235,0.6148294306164229,0.9835890699620181,26.6,4.0680000000000005,429.645,56.844745395464706,12.296588612328458
35,random,Random,Random,3.3107380959179284,0.6047083775349023,1.1705602650557596,3.0,6.909199999999999,123.17,66.21476191835858,12.094167550698046
35,gao,Gao Matching,GaoMatching,3.3390156875912296,0.6419182134137282,1.147506789211618,3.0,7.1895999999999995,102.96,66.7803137518246,12.838364268274564
35,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.1533035039816615,0.5373437392667467,1.1154249391549707,9.2,6.909199999999999,243.365,63.06607007963323,10.746874785334933
35,beam_weighted,Beam-Weighted Threshold,Proposed,3.0919022337692152,0.531556417266425,1.1558264812400205,10.975,4.4548000000000005,292.23,61.8380446753843,10.6311283453285
35,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.2909038423249517,0.5848703616859381,1.2241651688712958,3.0,4.510800000000001,291.22,65.81807684649904,11.697407233718762
35,mussbah,Mussbah Beam Graph,Proposed,2.661543319001662,0.45962701788824784,0.9971418337913274,30.28,4.4548000000000005,586.915,53.23086638003324,9.192540357764958
40,random,Random,Random,3.1927002915386833,0.49935549099399945,1.2069637438902003,3.0,7.1772,160.555,63.854005830773666,9.987109819879988
40,gao,Gao Matching,GaoMatching,3.239744241080395,0.5676922950125027,1.1885643706424711,3.0,7.490000000000001,130.005,64.79488482160791,11.353845900250056
40,topn,AP-Top-N (N=8),H3TopAPAdaptive,3.0207353011959914,0.45234551160640574,1.142589965518425,10.02,7.1772,317.025,60.41470602391983,9.046910232128115
40,beam_weighted,Beam-Weighted Threshold,Proposed,2.9522940694212885,0.4346327645173977,1.1789482564442966,12.08,4.8356,384.03,59.04588138842577,8.692655290347954
40,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.1797960939609076,0.5022472333299486,1.2622781879969927,3.0,4.9144,382.17,63.59592187921815,10.044944666598973
40,mussbah,Mussbah Beam Graph,Proposed,2.474717319961109,0.3641834892055026,0.9909527733762965,34.29,4.8356,769.615,49.49434639922219,7.283669784110051
45,random,Random,Random,3.1455579433257888,0.48955815605639724,1.2661767446310108,3.0,7.362399999999999,199.36,62.91115886651578,9.791163121127944
45,gao,Gao Matching,GaoMatching,3.1989921896274542,0.5643034345525775,1.2476174721235713,3.0,7.7124,157.73,63.97984379254908,11.28606869105155
45,topn,AP-Top-N (N=8),H3TopAPAdaptive,2.957788441424224,0.45519280864329154,1.1914179136429426,10.935,7.362399999999999,401.65,59.15576882848448,9.10385617286583
45,beam_weighted,Beam-Weighted Threshold,Proposed,2.8903314767498274,0.43858995816341506,1.2264966696538053,13.03,5.134049999999999,481.31,57.806629534996546,8.771799163268302
45,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.1353073209756213,0.5164198290962342,1.3213649687475624,3.0,5.2423,478.415,62.70614641951243,10.328396581924684
45,mussbah,Mussbah Beam Graph,Proposed,2.3622552592983515,0.35748731555343294,1.0056999370513073,37.965,5.134049999999999,977.02,47.24510518596703,7.149746311068658
50,random,Random,Random,3.0423594407545895,0.4085863573982703,1.2959752252736876,3.0,7.5152,249.805,60.84718881509179,8.171727147965406
50,gao,Gao Matching,GaoMatching,3.0971931457795043,0.4510127477333061,1.2782389923884778,3.0,7.8828,187.24,61.94386291559009,9.020254954666122
50,topn,AP-Top-N (N=8),H3TopAPAdaptive,2.8401299538140075,0.38393125124179317,1.210848917545891,11.96,7.5152,497.17,56.802599076280146,7.678625024835863
50,beam_weighted,Beam-Weighted Threshold,Proposed,2.772498246722643,0.36908407866932713,1.240252212147328,14.145,5.4408,597.93,55.44996493445285,7.381681573386542
50,beam_resource,Beam-Resource Matching,MatchingBeamAdaptive,3.0383449951361743,0.4375676999039096,1.3487691961942796,3.0,5.5749499999999985,593.425,60.76689990272348,8.751353998078192
50,mussbah,Mussbah Beam Graph,Proposed,2.202965690774462,0.2924467956534623,0.9893661488154948,41.985,5.4408,1209.195,44.05931381548924,5.848935913069246
